Level,Text,Href,FullURL,ParentPath,FullPath,Title,ChildrenCount
3,Rates of Stamp Duty,/content/mca/global/en/help-faq/faqs/payment2/rates-of-stamp-duty.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/rates-of-stamp-duty.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > Rates of Stamp Duty,,0
3,Estamp,/content/mca/global/en/help-faq/faqs/payment2/estamp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/estamp.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > Estamp,,0
2,Offline Payment,/content/mca/global/en/help-faq/faqs/offline-payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/offline-payment.html,Help & FAQs > FAQs,Help & FAQs > FAQs > Offline Payment,,3
3,Offline payment,/content/mca/global/en/help-faq/faqs/offline-payment/faqs-offline-payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/offline-payment/faqs-offline-payment.html,Help & FAQs > FAQs > Offline Payment,Help & FAQs > FAQs > Offline Payment > Offline payment,,0
3,Steps to make offline Payment,/content/mca/global/en/help-faq/faqs/offline-payment/Steps-to-make-Offline-Payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/offline-payment/Steps-to-make-Offline-Payment.html,Help & FAQs > FAQs > Offline Payment,Help & FAQs > FAQs > Offline Payment > Steps to make offline Payment,,0
3,Offline payment process for IEPF-1 Form for Pay Miscellaneous Fee,/content/mca/global/en/help-faq/faqs/offline-payment/iepf-for-Pay-Miscellaneous-fee.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/offline-payment/iepf-for-Pay-Miscellaneous-fee.html,Help & FAQs > FAQs > Offline Payment,Help & FAQs > FAQs > Offline Payment > Offline payment process for IEPF-1 Form for Pay Miscellaneous Fee,,0
2,DSC Services,/content/mca/global/en/help-faq/faqs/dsc-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/dsc-services.html,Help & FAQs > FAQs,Help & FAQs > FAQs > DSC Services,,4
3,DSC,/content/mca/global/en/help-faq/faqs/dsc-services/digital-signature-certificate.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/dsc-services/digital-signature-certificate.html,Help & FAQs > FAQs > DSC Services,Help & FAQs > FAQs > DSC Services > DSC,,0
3,V3 Associate DSC,/content/mca/global/en/help-faq/faqs/dsc-services/associate-dsc.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/dsc-services/associate-dsc.html,Help & FAQs > FAQs > DSC Services,Help & FAQs > FAQs > DSC Services > V3 Associate DSC,,0
3,Process for DSC Registration,/content/mca/global/en/help-faq/faqs/dsc-services/dsc-registration.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/dsc-services/dsc-registration.html,Help & FAQs > FAQs > DSC Services,Help & FAQs > FAQs > DSC Services > Process for DSC Registration,,0
