href,url,finalUrl,status,len,verdict
/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/din-related.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related.html,200,15000,ACCESSIBLE
