text,href,domain,type
Informational and Investor services,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services.html,www.mca.gov.in (relative),INTERNAL
INC-20A - Declaration for commencement of business,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/INC-20A.html,www.mca.gov.in (relative),INTERNAL
INC-20 - Intimation of revocation of license issued u/s 8,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/INC-20.html,www.mca.gov.in (relative),INTERNAL
INC-28 - Notice of Order of the Court/Competent authority,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/INC-28.html,www.mca.gov.in (relative),INTERNAL
CRL-1 - Return regarding number of layers,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/CRL-1.html,www.mca.gov.in (relative),INTERNAL
GNL-4 - Addendum to form,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/GNL-4.html,www.mca.gov.in (relative),INTERNAL
MGT-3 - Notice of situation where foreign register shall be kept,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/MGT-3.html,www.mca.gov.in (relative),INTERNAL
PAS-2 - Information Memorandum,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/form-pas-2.html,www.mca.gov.in (relative),INTERNAL
Complaint form - Investor complaint form,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/complaint-form.html,www.mca.gov.in (relative),INTERNAL
Refund - Refund form,/content/mca/global/en/mca/e-filing/Informational-and-Investor-services/Refund.html,www.mca.gov.in (relative),INTERNAL
Compliance Services,/content/mca/global/en/mca/e-filing/complianceServices.html,www.mca.gov.in (relative),INTERNAL
ADT-1 - Appointment of auditor,/content/mca/global/en/mca/e-filing/complianceServices/ADT-1.html,www.mca.gov.in (relative),INTERNAL
ADT-3 - Resignation by the auditor,/content/mca/global/en/mca/e-filing/complianceServices/ADT-3.html,www.mca.gov.in (relative),INTERNAL
BEN-2 - Return to the Registrar in respect of declaration under section 90,/content/mca/global/en/mca/e-filing/complianceServices/ben2.html,www.mca.gov.in (relative),INTERNAL
CSR-1 – Registration of Entities for Undertaking CSR Activities,/content/mca/global/en/mca/e-filing/complianceServices/CSR-1.html,www.mca.gov.in (relative),INTERNAL
INC-22A - Active Company Tagging Identities and Verification,/content/mca/global/en/mca/e-filing/complianceServices/INC-22A.html,www.mca.gov.in (relative),INTERNAL
MGT-14 - Resolutions and agreements u/s 117,/content/mca/global/en/mca/e-filing/complianceServices/form-mgt-14.html,www.mca.gov.in (relative),INTERNAL
MSC-3 - Return of dormant companies,/content/mca/global/en/mca/e-filing/complianceServices/MSC-3.html,www.mca.gov.in (relative),INTERNAL
MSME - Half yearly return of Micro or Small Enterprise,/content/mca/global/en/mca/e-filing/complianceServices/MSME.html,www.mca.gov.in (relative),INTERNAL
PAS-3 - Return of Allotment,/content/mca/global/en/mca/e-filing/complianceServices/pas-3.html,www.mca.gov.in (relative),INTERNAL
PAS-6 - Reconciliation of Share Capital Audit Report,/content/mca/global/en/mca/e-filing/complianceServices/PAS-6.html,www.mca.gov.in (relative),INTERNAL
SH-11 - Buy-back of securities,/content/mca/global/en/mca/e-filing/complianceServices/SH-11.html,www.mca.gov.in (relative),INTERNAL
GNL-2 - Submission of documents with the Registrar,/content/mca/global/en/mca/e-filing/complianceServices/GNL-2.html,www.mca.gov.in (relative),INTERNAL
GNL-3 - Particulars of person(s) of clause 60 of section 2,/content/mca/global/en/mca/e-filing/complianceServices/GNL-3.html,www.mca.gov.in (relative),INTERNAL
MGT-6 - Declaration under section 89,/content/mca/global/en/mca/e-filing/complianceServices/Form-MGT-6.html,www.mca.gov.in (relative),INTERNAL
SH-8 - Letter of Offer,/content/mca/global/en/mca/e-filing/complianceServices/SH-8.html,www.mca.gov.in (relative),INTERNAL
SH-9 - Declaration of Solvency,/content/mca/global/en/mca/e-filing/complianceServices/SH-9.html,www.mca.gov.in (relative),INTERNAL
LEAP - 1 Form for submission of Prospectus with the Registrar,/content/mca/global/en/mca/e-filing/complianceServices/leap-1.html,www.mca.gov.in (relative),INTERNAL
PAS-7 - Details of pending share warrants,/content/mca/global/en/mca/e-filing/complianceServices/PAS-7.html,www.mca.gov.in (relative),INTERNAL
Approval Services (ROC/RD/HQ),/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq.html,www.mca.gov.in (relative),INTERNAL
INC-23 - Application to shift Registered Office,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/INC-23.html,www.mca.gov.in (relative),INTERNAL
